회수,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),미래학,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교의,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),운영체제,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),중장,18.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기적,25.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),외국,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),호흡,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),보지,40.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),형태,78.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),배출,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),흐름,11.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),얘기,676.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),과거,35.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),스크린,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),임시회,13.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식,126.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),협심,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),파이,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),주사,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),실적,41.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),파견,23.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),크게,49.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),지난번,119.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),벤치마킹,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),뭔가,142.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),발굴,17.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),통상,34.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),용이,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),무리,15.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정보공개,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),숨기,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),라면,38.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),비밀,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),자랑,14.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),문서,13.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),출품,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),아예,38.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),관도,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),보라,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),불만,27.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),도대체,24.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),존재,23.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),굳이,35.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),비보,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),제발,13.0
